colour,currency,description,image_urls,price,product_name
white-cobalt,AUD,"Terry towel beach tote with cobalt blue embroidered motif
 - Embroidered logo bottom centre front
 - Flat Bottom
 - Measures: 16cm x 35cm x 40cm",https://cdn.shopify.com/s/files/1/2129/8823/products/S04-19757-Venroy-5P-0036_a3aa18fd-aaa4-4831-93aa-5d31f0a3e595_2000x.jpg?v=1590466303>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_BC_1_12_c21a9c88-6b7f-4a0e-871e-50c8a1e1b7d6_2000x.jpg?v=1590466303>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_BC_1_11_a9228f53-ab34-4d0f-9f40-f17d6ff1aa61_2000x.jpg?v=1590466303>>https://cdn.shopify.com/s/files/1/2129/8823/products/S04-19757-Venroy-5P-0076_8aa51331-289b-430f-a9aa-d6a67a0905d9_2000x.jpg?v=1590466303>>https://cdn.shopify.com/s/files/1/2129/8823/products/S04-19757-Venroy-5P-0150_221a6e3c-f309-4449-b01c-d5eecea51119_2000x.jpg?v=1590466303,100.0,Beach club tote
navy,AUD,Our Linen Cap is the perfect compliment to an already elevated ensemble. Short rise to form-fit the head and linen coated elastic strap to cater to all sizes,https://cdn.shopify.com/s/files/1/2129/8823/products/S22-18717-Venroy-0137_2000x.jpg?v=1581049725>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_5_49_2000x.jpg?v=1581049725>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_5_50_2000x.jpg?v=1581049725>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_5_51_2000x.jpg?v=1581049725>>https://cdn.shopify.com/s/files/1/2129/8823/products/S23-18717-Venroy-0168_2000x.jpg?v=1581049725>>https://cdn.shopify.com/s/files/1/2129/8823/products/S24-18717-Venroy-0186_2000x.jpg?v=1581049725,50.0,Terry towel cap
sand,AUD,"Relaxed fit linen midi with floating panel layer across the bust
 - Shallow V neckline
 - Adjustable spaghetti straps
 - Floating panel layer across bust with raw edge finish
 - Relaxed fit on the body
 - Side leg split detail on both sides
 - Midi length",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_79_2000x.jpg?v=1574638240>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_80_2000x.jpg?v=1574638240>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_81_2000x.jpg?v=1574638240,150.0,Floating cami dress
black pure grey,AUD,"Cult status iconic Garrett Leight frame. Inspired by John Lennon, these metal Windsor rim sunglasses complement a wide range of styles.
 - Stainless steel frame with black acetate windsor rims
 - Arms detailed with Matte Spotted Tortoise acetate finish
 - Semi-flat mineral glass lenses with UV protection
 - Lenses have AR coating in Pure Grey tint
 - Clamp-on nosepads with adjustable metal arms
 - Standard GLCO case",https://cdn.shopify.com/s/files/1/2129/8823/products/Wilson_46_Matte_Black-Matte_Spotted_Tortoise-_Pure_Grey_4003-46-MBK-MST-PGY_1296x_8f99e824-8b3f-49ba-95af-dfd5c8f3e549_2000x.png?v=1590720329>>https://cdn.shopify.com/s/files/1/2129/8823/products/Wilson_46_Matte_Black-Matte_Spotted_Tortoise-_Pure_Grey_4003-46-MBK-MST-PGYv2_1296x_f8871021-e22c-4a93-a361-2c43c947c5d8_2000x.png?v=1590720329,540.0,Garrett leight wilson 49
navy,AUD,Our Linen Visor offers an elevated option in sun protection. Fused brim wrapped in our signature linen with a velcro strap and neat slit to hide excess tab.,https://cdn.shopify.com/s/files/1/2129/8823/products/S37-18717-Venroy-0153_2000x.jpg?v=1581049727>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_4_2_2000x.jpg?v=1581049727>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_4_3_2000x.jpg?v=1581049727>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_4_4_2000x.jpg?v=1581049727>>https://cdn.shopify.com/s/files/1/2129/8823/products/S38-18717-Venroy-0173_2000x.jpg?v=1581049727>>https://cdn.shopify.com/s/files/1/2129/8823/products/S39-18717-Venroy-0213_2000x.jpg?v=1581049727,40.0,Linen visor
teal,AUD,"Our Linen Towel is made from 100% Lithuanian linen boasting a soft luxurious hand feel and waffle texture. Unlike Turkish towels, which are made from Cotton, Linen dries fast and has superior absorption.",https://cdn.shopify.com/s/files/1/2129/8823/products/S50-18717-Venroy-0293_2000x.jpg?v=1581049732>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_5_85_2000x.jpg?v=1581049732>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_5_85-2_2000x.jpg?v=1581049732>>https://cdn.shopify.com/s/files/1/2129/8823/products/W_ECOMM_CAMPAIGN_33_copy_2000x.jpg?v=1581049732,95.0,Linen towel
navy,AUD,"Your  home away from home bag, that is as useful as it is easy on the eye. Offering two shoulder straps and a reinforced slip strap to help keep it on your suitcase at the airport, we bet you can fit more than a weekends worth inside.",https://cdn.shopify.com/s/files/1/2129/8823/products/S43-18717-Venroy-0269_2000x.jpg?v=1581049722>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_2_9_2000x.jpg?v=1581049722>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_2_8_2000x.jpg?v=1581049722>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_2_10_2000x.jpg?v=1581049722>>https://cdn.shopify.com/s/files/1/2129/8823/products/S44-18717-Venroy-0286_2000x.jpg?v=1581049722>>https://cdn.shopify.com/s/files/1/2129/8823/products/S42-18717-Venroy-0235_13a5d0a1-2e69-4058-a8be-c4b54ceb0752_2000x.jpg?v=1581049722,140.0,Linen weekender bag
navy,AUD,"Your everyday bag, that is as useful as it is easy on the eye. Offering a cross body strap, two shoulder straps and a reinforced slip strap to help keep it on your suitcase at the airport.",https://cdn.shopify.com/s/files/1/2129/8823/products/S8-19397-Venroy-0116_2000x.jpg?v=1581049908>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_H_100_3fdf3e39-94d7-48cc-b224-a4dbf340694a_2000x.jpg?v=1581049908>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_H_101_a4bc77e6-eb83-4f84-b0b1-aae21111edec_2000x.jpg?v=1581049908>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_H_86_362e2b24-e133-4bf8-82b4-65e94dbcd4d4_2000x.jpg?v=1581049908>>https://cdn.shopify.com/s/files/1/2129/8823/products/S8-19397-Venroy-0122_2000x.jpg?v=1581049908>>https://cdn.shopify.com/s/files/1/2129/8823/products/S8-19397-Venroy-0160_2000x.jpg?v=1581049908,80.0,Linen tote
spring stripe,AUD,"A fresh update for your everyday bag. Offering a cross body strap, two shoulder straps and sturdy Nylon outer, best for the beach.
 - Internal pocket.
 - Subtle Venroy logo",https://cdn.shopify.com/s/files/1/2129/8823/products/S05-19757-Venroy-5P-0041_0b32eb5f-6523-4589-979a-39a441caec86_2000x.jpg?v=1585235951>>https://cdn.shopify.com/s/files/1/2129/8823/products/S05-19757-Venroy-5P-0100_a2b78c7d-dfae-4460-9645-2af9c77cbe89_2000x.jpg?v=1585235951>>https://cdn.shopify.com/s/files/1/2129/8823/products/S05-19757-Venroy-5P-0066_1668e417-6daa-4182-a5d5-70a1c983575e_2000x.jpg?v=1585235951>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_SUMMER_4_5_c49e64f7-2393-412a-91c9-8b9171f044e8_2000x.jpg?v=1585235951,120.0,Tote
navy / ivory stripe,AUD,"Your everyday bag, that is as useful as it is easy on the eye. Offering a cross body strap, two shoulder straps and a reinforced slip strap to help keep it on your suitcase at the airport.",https://cdn.shopify.com/s/files/1/2129/8823/products/S40-18717-Venroy-0275_2000x.jpg?v=1581049719>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_2_12_2000x.jpg?v=1581049719>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_2_13_2000x.jpg?v=1581049719>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_MENS_CROPS_2_11_2000x.jpg?v=1581049719>>https://cdn.shopify.com/s/files/1/2129/8823/products/S41-18717-Venroy-0280_2000x.jpg?v=1581049719>>https://cdn.shopify.com/s/files/1/2129/8823/products/S45-18717-Venroy-0238_2000x.jpg?v=1581049719,80.0,Linen tote
