colour,currency,description,image_urls,price,product_name
navy,AUD,"Relaxed fit short sleeve shirt with grandad collar
 - Short sleeve length
 - Grandad Collar
 - Functional button down front
 - hip length finish with extra length in the back",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_74_2000x.jpg?v=1580426461>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_76_2000x.jpg?v=1580426461>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_75_2000x.jpg?v=1580426461>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_77_7a4c141a-a6f3-42d1-b052-d746a49352ea_2000x.jpg?v=1580426461,100.0,Womens tencel short sleeve shirt
black,AUD,"Classic linen mini with lace up feature in the back
 - Straight across neckline
 - Adjustable spaghetti straps
 - Mini length
 - Matching lace up detail in the back finished with signature copper hardware",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_34_2000x.jpg?v=1581049775>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_36_2000x.jpg?v=1581049775>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_35_2000x.jpg?v=1581049775,100.0,Lace up dress
sand marl,AUD,"Classic linen mini with lace up feature in the back
 - Straight across neckline
 - Adjustable spaghetti straps
 - Mini length
 - Matching lace up detail in the back finished with signature copper hardware",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_229_2000x.jpg?v=1590465188>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_230_2000x.jpg?v=1590465188>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_227_2000x.jpg?v=1590465188>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_228_2000x.jpg?v=1590465188>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_224_2000x.jpg?v=1590465188,100.0,Lace up dress
white,AUD,"Classic linen mini with lace up feature in the back
 - Straight across neckline
 - Adjustable spaghetti straps
 - Mini length
 - Matching lace up detail in the back finished with signature copper hardware",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_WHITE_DRESS_2_2000x.jpg?v=1581049774>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_WHITE_DRESS_1_2000x.jpg?v=1581049774,100.0,Lace up dress
rust,AUD,"Our Women’s  Bias  Dress has a unique drape and shapes the body delicately. Stylish and feminine  in our silk blend, ready for day or night.",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_39_2000x.jpg?v=1581049796>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_40_2000x.jpg?v=1581049796,180.0,Silk bias dress
musk,AUD,"High neck linen mini with lace up back
 - High square neck with adjustable straps
 - Fully lined body
 - Low back with lace up finish
 - Raw hemline
 - Mini length",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1114_2000x.jpg?v=1581049892>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1115_2000x.jpg?v=1581049892>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1116_2000x.jpg?v=1581049892,140.0,Square neck mini
tobacco,AUD,"Classic linen mini with lace up feature in the back
 - Straight across neckline
 - Adjustable spaghetti straps
 - Mini length
 - Matching lace up detail in the back finished with signature copper hardware",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_31_2000x.jpg?v=1590465878>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_33_2000x.jpg?v=1590465878>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_32_2000x.jpg?v=1590465878,100.0,Lace up dress
shell,AUD,"Our Women’s  Bias  Dress has a unique drape and shapes the body delicately. Stylish and feminine  in our silk blend, ready for day or night.",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_71_9f5201af-08f6-4c4c-a90c-01d5bcacd920_2000x.jpg?v=1580454628>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_72_43afa161-1684-4048-a5cb-c27bdf87a368_2000x.jpg?v=1580454628>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_73_440b6187-abd6-4218-a56a-cf9e412834ba_2000x.jpg?v=1580454628,180.0,Silk bias dress
cornflower blue,AUD,"High neck linen mini with lace up back
 - High square neck with adjustable straps
 - Fully lined body
 - Low back with lace up finish
 - Raw hemline
 - Mini length",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1117_2000x.jpg?v=1581049893>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1118_2000x.jpg?v=1581049893>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1119_2000x.jpg?v=1581049893,140.0,Square neck mini
white,AUD,"High neck linen mini with lace up back
 - High square neck with adjustable straps
 - Fully lined body
 - Low back with lace up finish
 - Raw hemline
 - Mini length",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1111_2000x.jpg?v=1581049891>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1112_2000x.jpg?v=1581049891>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_1_1113_2000x.jpg?v=1581049891,140.0,Square neck mini
navy,AUD,"Cotton poplin wide leg pant with side leg split
 - Lightweight Japanese cotton poplin fabrication
 - Elasticated waist with contrast top stitch
 - Relaxed fit wide leg
 - Open pleat seam feature down side
 - Functional side pockets
 - Functional back pocket
 - High waisted fit",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_98_cfef1390-014b-40c0-96cc-e6e35b3b6ee9_2000x.jpg?v=1574648655>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_97_ed84cd39-a764-4d38-870c-1cebf954f2a3_2000x.jpg?v=1574648655>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_99_1c8cea54-c386-4dc4-90bc-2864642206bf_2000x.jpg?v=1574648655>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_100_0984e4ee-49ba-46c8-9703-f73ea2c8eab6_2000x.jpg?v=1575958684>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_5_44adb54e-68f5-428c-9a18-04b65cb1fe22_2000x.jpg?v=1575958695,180.0,Paper weight poplin pant
white,AUD,"Off shoulder floor length summer dress with adjustable rouleau shoulder ties
 - Elasticised off shoulder neckline with ruffle detail
 - Off shoulder mini sleeves
 - Adjustable rouleau straps
 - Full length hem
 - Side split feature on right and left
 - Relaxed flowy fit on the body
 - Raw hemline with triple top stitching detail to prevent fraying",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_8_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_9_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_10_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_12_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_13_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_14_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_CAMPAIGN_26_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_CAMPAIGN_25_2000x.jpg?v=1590466063>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_CAMPAIGN_24_2000x.jpg?v=1590466063,160.0,Strapless maxi dress
white,AUD,"Fully lined Summer dress with ruched strap detail and functional tie front feature
 - Elasticised straps with ruching detail
 - Keyhole feature underbust with functional tie front
 - Leg split detail on front left
 - Ruching feature in centre back
 - Triple panel detailing down the body for a flattering fit
 - Fully lined body
 - Invisible side zipper for entry",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_61_2000x.jpg?v=1581049894>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_62_2000x.jpg?v=1581049894>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_63_2000x.jpg?v=1581049894,170.0,Tie front dress
holiday stripe,AUD,"Off shoulder summer dress with adjustable rouleau shoulder ties
 - Elasticised off shoulder neckline with ruffle detail
 - Off shoulder mini sleeves
 - Adjustable rouleau straps
 - Knee length hem
 - Relaxed flowy fit on the body
 - Raw hemline with triple top stitching detail to prevent fraying",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_27_2000x.jpg?v=1581049900>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_28_2000x.jpg?v=1581049900>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_29_2000x.jpg?v=1581049900>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_30_2000x.jpg?v=1581049900>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_31_2000x.jpg?v=1581049900>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_32_2000x.jpg?v=1581049900,140.0,Tie shoulder mini dress
black,AUD,"Fully lined Summer dress with ruched strap detail and functional tie front feature
 - Elasticised straps with ruching detail
 - Keyhole feature underbust with functional tie front
 - Leg split detail on front left
 - Ruching feature in centre back
 - Triple panel detailing down the body for a flattering fit
 - Fully lined body
 - Invisible side zipper for entry",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_33_2000x.jpg?v=1582553942>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_34_2000x.jpg?v=1582553942>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_36_2000x.jpg?v=1582553942,170.0,Tie front dress
white,AUD,"Off shoulder summer dress with adjustable rouleau shoulder ties
 - Elasticised off shoulder neckline with ruffle detail
 - Off shoulder mini sleeves
 - Adjustable rouleau straps
 - Knee length hem
 - Relaxed flowy fit on the body
 - Raw hemline with triple top stitching detail to prevent fraying",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_21_2000x.jpg?v=1581049897>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_22_2000x.jpg?v=1581049897>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_23_2000x.jpg?v=1581049897>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_24_2000x.jpg?v=1581049898>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_25_2000x.jpg?v=1581049898>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_26_2000x.jpg?v=1581049898>>https://cdn.shopify.com/s/files/1/2129/8823/products/WOMENS_E-COMM_CAMPAIGN_6_2000x.jpg?v=1581049898,130.0,Tie shoulder mini dress
ocean blue,AUD,"Off shoulder summer dress with adjustable rouleau shoulder ties
 - Elasticised off shoulder neckline with ruffle detail
 - Off shoulder mini sleeves
 - Adjustable rouleau straps
 - Knee length hem
 - Relaxed flowy fit on the body
 - Raw hemline with triple top stitching detail to prevent fraying",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_1_2000x.jpg?v=1581049899>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_2_2000x.jpg?v=1581049899>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_3_2000x.jpg?v=1581049899>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_4_2000x.jpg?v=1581049899>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_5_2000x.jpg?v=1581049899>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_6_2000x.jpg?v=1581049899>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_H_3_7_2000x.jpg?v=1581049899,130.0,Tie shoulder mini dress
black,AUD,"Long sleeved bonded linen mini with cut out detail under bust.
 - Bonded linen fabrication
 - Mini length
 - Cut out feature under bust
 - Slightly exaggerated shoulders
 - Long sleeves with straight fit
 - Straight and slightly fitted on the body
 - Panel lines down the body for flattering fit
 - Flattering straight-across bustline
 - Invisible centre back zipper for entry",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_106_2000x.jpg?v=1581049986>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_107_2000x.jpg?v=1581049986>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_108_2000x.jpg?v=1581049986,220.0,Linen sleeved dress
blush,AUD,"Blush linen long sleeve wrap dress
 - Midi length
 - Adjustable functional wrap
 - Internal tie feature for security
 - Deep V neckline
 - Extra long sleeve with relaxed fit
 - Exaggerated cuffs with button finish
 - Belt loop detail in the back",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_131_2000x.jpg?v=1590466158>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_132_2000x.jpg?v=1590466158>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_133_2000x.jpg?v=1590466158>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_134_2000x.jpg?v=1590466158,250.0,Long sleeve robe dress
taupe,AUD,"Fully fashioned linen rib knit long sleeve dress
 - Midi length
 - High crew neckline
 - Contrast trim on neckline
 - Fitted on the body
 - Long sleeves with slight bell finish
 - Contrast line detail on sleeve and hemline",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_91_2000x.jpg?v=1590466174>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_92_2000x.jpg?v=1590466174>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_93_2000x.jpg?v=1590466174,220.0,Long sleeve knit dress
navy,AUD,"Cotton twill full length dress with contrast stitch detail.
 - Contrast cream grosgrain straps
 - Elasticated neckline with paper bag finish
 - Adjustable waist with contrast grosgrain drawstring
 - Functional side pockets with contrast topstitch detail
 - Relaxed oversized fit on the body
 - Full length hem",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_112_2000x.jpg?v=1581049983>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_113_2000x.jpg?v=1581049983>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_114_2000x.jpg?v=1581049983>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_117_2000x.jpg?v=1581049983>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_118_2000x.jpg?v=1581049983>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_119_2000x.jpg?v=1581049983,220.0,Side pocket maxi
marine blue,AUD,"Signature linen bias mini dress with binding finish
 - Relaxed neckline with binding finish
 - Adjustable spaghetti straps
 - Cut on the bias for a flattering fit which skims the body
 - Mini length
 - Raw hemline with single stitch finish",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_13_2000x.jpg?v=1590465873>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_14_2000x.jpg?v=1590465873>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_15_2000x.jpg?v=1590465873,110.0,Mini bias dress
black,AUD,"Signature linen bias mini dress with binding finish
 - Relaxed neckline with binding finish
 - Adjustable spaghetti straps
 - Cut on the bias for a flattering fit which skims the body
 - Mini length
 - Raw hemline with single stitch finish",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_19_2000x.jpg?v=1590465872>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_20_2000x.jpg?v=1590465872>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_21_2000x.jpg?v=1590465872,110.0,Mini bias dress
sand marl,AUD,"Signature linen bias mini dress with binding finish
 - Relaxed neckline with binding finish
 - Adjustable spaghetti straps
 - Cut on the bias for a flattering fit which skims the body
 - Mini length
 - Raw hemline with single stitch finish",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_228_d755977b-8a5c-4530-8cc7-af25cd0c2896_2000x.jpg?v=1581050005>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_227_23d02a68-99fa-42fc-a9da-872c78b888eb_2000x.jpg?v=1581050005>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_229_95670dab-7f66-4caa-b36f-3a58c03146c8_2000x.jpg?v=1581050005,110.0,Mini bias dress
white,AUD,"Signature linen bias mini dress with binding finish
 - Relaxed neckline with binding finish
 - Adjustable spaghetti straps
 - Cut on the bias for a flattering fit which skims the body
 - Mini length
 - Raw hemline with single stitch finish",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_10_2000x.jpg?v=1590465871>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_11_2000x.jpg?v=1590465871>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_12_2000x.jpg?v=1590465871>>https://cdn.shopify.com/s/files/1/2129/8823/products/W2_ECOMM_CAMPAIGN_18_copy_2000x.jpg?v=1590465871,110.0,Mini bias dress
sand beige stripe,AUD,"Linen popover mini with contrast stripe feature
 - V neckline 
 - Short  trapeze style sleeve
 - Functional front pockets with contrast grosgrain stripe detail
 - Contrast grosgrain stripe feature down sleeve
 - Mini length
 - Boxy fit
 - Perfect beach companion",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_43_2000x.jpg?v=1574644483>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_44_2000x.jpg?v=1574644483>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_45_2000x.jpg?v=1574644483>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_14_4451ba3b-c30b-447e-97e7-c19fdf9d13fd_2000x.jpg?v=1575956864,150.0,Linen pop over dress
white beige stripe,AUD,"Linen popover mini with contrast stripe feature
 - V neckline 
 - Short  trapeze style sleeve
 - Functional front pockets with contrast grosgrain stripe detail
 - Contrast grosgrain
 - stripe feature down sleeve
 - Mini length
 - Boxy fit
 - Perfect beach companion",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_46_2000x.jpg?v=1574644438>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_47_2000x.jpg?v=1574644438>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SUMMER_1_48_2000x.jpg?v=1574644438,150.0,Linen pop over dress
mint,AUD,"Thick strap linen mini back cut-out detail.
 - Mini length
 - Tight fit on the body
 - Thick straight straps
 - Flattering straight-across bustline
 - Cut out feature in back
 - Ruche feature strap across back",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_100_2000x.jpg?v=1581049981>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_101_2000x.jpg?v=1581049981>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_SP_102_2000x.jpg?v=1581049981,160.0,Fitted mini dress
navy,AUD,"Elegant short sleeve day dress with double pocket feature
 - Mid calf hem
 - Classic revere collar
 - V-neckline
 - Short sleeve with structured cuff detail
 - Functional tortoise buttons down body for entry
 - Double functional pocket feature below waist
 - Tortoise button closure on pockets
 - Vertical grosgrain ribbon detail
 - down pockets
 - Seamed panel lines down the body
 - Triple top stitching detail feature at hem
 - Ruched elastic detail at back for flattering fit",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_14_2000x.jpg?v=1581049827>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_15_2000x.jpg?v=1581049827>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_16_2000x.jpg?v=1581049827>>https://cdn.shopify.com/s/files/1/2129/8823/products/WOMENS_CAMPAGN_ECOM_12_2000x.jpg?v=1581049827,180.0,Pocket shirt dress
sky,AUD,"Bonded linen mini with ruffle strap detail
 - Bonded linen fabrication for flattering fit
 - Straight across bustline
 - Mini length
 - Fitted structure
 - Ruffle detail on straps
 - Open back with functional tie back feature
 - Bra friendly",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_32_2000x.jpg?v=1581049823>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_33_2000x.jpg?v=1581049823>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_31_2000x.jpg?v=1581049823,150.0,Tie back mini
white,AUD,"Elegant short sleeve day dress with double pocket feature
 - mid calf hem
 - classic revere collar
 - V-neckline
 - short sleeve with structured cuff detail
 - functional tortoise buttons down body for entry
 - double functional pocket feature below waist
 - tortoise button closure on pockets
 - vertical grosgrain ribbon detail
 - down pockets
 - seamed panel lines down the body
 - triple top stitching detail feature at hem
 - ruched elastic detail at back for flattering fit",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_17_2000x.jpg?v=1581049826>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_18_2000x.jpg?v=1581049826>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_19_2000x.jpg?v=1581049826>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_20_2000x.jpg?v=1581049826,180.0,Pocket shirt dress
milk,AUD,"Bonded linen mini with ruffle strap detail
 - Bonded linen fabrication for flattering fit
 - Straight across bustline
 - Mini length
 - Fitted structure
 - Ruffle detail on straps
 - Open back with functional tie back feature
 - Bra friendly",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_34_2000x.jpg?v=1581049821>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_36_2000x.jpg?v=1581049821>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_35_2000x.jpg?v=1581049821,150.0,Tie back mini
black,AUD,"Bonded linen mini with ruffle strap detail
 - Bonded linen fabrication for flattering fit
 - Straight across bustline
 - Mini length
 - Fitted structure
 - Ruffle detail on straps
 - Open back with functional tie back feature
 - Bra friendly",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_27_2000x.jpg?v=1584368304>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_30_2000x.jpg?v=1584368304>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_28_2000x.jpg?v=1584368304>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_W_1_29_2000x.jpg?v=1584368304,150.0,Tie back mini
sand marl,AUD,"The Button Front Dress offers a relaxed drape with some shape up-top. Easy to wear day-in, day-out. Working full length button up front.",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_28_2000x.jpg?v=1581049779>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_29_2000x.jpg?v=1581049779>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_30_2000x.jpg?v=1581049779,160.0,Button front dress
mustard,AUD,"Relaxed linen mini with foldover panel feature
 - Straight across neckline
 - Adjustable spaghetti straps
 - Foldover panel feature across bust
 - Relaxed fit on the body
 - Keyhole at centre back with linen cord tie closure
 - Raw hemline finish",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_56_2000x.jpg?v=1581049644>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_58_2000x.jpg?v=1581049644>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_1_57_2000x.jpg?v=1581049644>>https://cdn.shopify.com/s/files/1/2129/8823/products/W_ECOMM_CAMPAIGN_21_copy_2000x.jpg?v=1581049644,110.0,Fold over mini dress
white,AUD,"The Button Front Dress offers a relaxed drape with some shape up-top. Easy to wear day-in, day-out. Working full length button up front.",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_25_2000x.jpg?v=1581049777>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_26_2000x.jpg?v=1581049777>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_WOMENS_HS_27_2000x.jpg?v=1581049777>>https://cdn.shopify.com/s/files/1/2129/8823/products/W2_ECOMM_CAMPAIGN_8_copy_2000x.jpg?v=1581049777>>https://cdn.shopify.com/s/files/1/2129/8823/products/W2_ECOMM_CAMPAIGN_20_copy_2000x.jpg?v=1581049777,160.0,Button front dress
white,AUD,"Our Women’s  Fitted Front Split is your new favourite. An evolution of our Side Split Dress, this offers more structure and shape with a modern  slit in the front  for  relaxed movement.",https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_17_2000x.jpg?v=1581049639>>https://cdn.shopify.com/s/files/1/2129/8823/products/VENROY_ECOMM_WOMENS_2_18_2000x.jpg?v=1581049639,170.0,Fitted front split dress
